input,instruction,output
"paragraph:  Dartmouth College is a private Ivy League research university in Hanover, New Hampshire, United States. Established in 1769 by Eleazar Wheelock, it is the ninth-oldest institution of higher education in the United States and one of the nine colonial colleges chartered before the American Revolution. Although founded as a school to educate Native Americans in Christian theology and the English way of life, Dartmouth primarily trained Congregationalist ministers throughout its early history before it gradually secularized, emerging at the turn of the 20th century from relative obscurity into national prominence. \\Following a liberal arts curriculum, the university provides undergraduate instruction in 40 academic departments and interdisciplinary programs including 57 majors in the humanities, social sciences, natural sciences, and engineering, and enables students to design specialized concentrations or engage in dual degree programs. Dartmouth comprises five constituent schools: the original undergraduate college, the Geisel School of Medicine, the Thayer School of Engineering, the Tuck School of Business, and the School of Graduate and Advanced Studies. The university also has affiliations with the Dartmouth–Hitchcock Medical Center, the Rockefeller Institute for Public Policy, and the Hopkins Center for the Arts. With a total student enrollment of about 6,400, Dartmouth is the smallest university in the Ivy League. Undergraduate admissions is highly competitive, with an acceptance rate of 10.4% for the Class of 2021, according to the university.",Answer the following question from the paragraph : Question: Who is Dartmouth affiliated with?,the Dartmouth–Hitchcock Medical Center
"paragraph:  (CNN)The passing of Saudi Arabia's King Abdullah Bin Abdul-Aziz may not have come as a surprise -- his health had deteriorated in recent years -- but until the very end, the monarch was determined to leave an indelible imprint on the throne by articulating and implementing a clear vision for the country. \\Abdullah also seemed to possess the political acumen necessary to adjust to the changing needs and increased political awareness of the Saudi populace, as well as to the shifting political realities in the Middle East and elsewhere. \\Abdullah didn't officially ascend until 2005, but he had been the de facto king since 1995, when his predecessor and half-brother Fahd's health started failing. It was Abdullah who had to steady the ship during the tumultuous aftermath of the September 11 attacks on the United States and subsequent terrorist attacks inside the kingdom in 2003 and 2004. \\The specter of terrorism not only forced some to question the foundation of Saudi Arabia's ""special"" relationship with the US, but also posed a serious threat to the stability of the regime by challenging its Islamic bona fides on which its entire claim to legitimacy rests. \\Although it was the late Interior Minister Naif Bin Abdulaziz and his successor who devised the kingdom's multi-pronged counter-terrorism strategy -- part security operation, part public awareness campaign -- that largely contained the threat from al Qaeda, Abdullah's resoluteness and assurances to Saudis and the international community should not be underestimated. \\Many might remember Abdullah for his foreign policy initiatives, including his plan for comprehensive peace between Israel and its Arab neighbors -- adopted first by the Arab League in 2002 and then again 2007 -- or his efforts to foster interfaith understanding by sponsoring international forums aimed at bringing together followers of various religions to stress their shared values, as his meeting with Pope Benedict in 2009 illustrated. ",Answer the following question from the paragraph : Question: what did Abdullan possess?,political acumen
"paragraph:  Today is Josh's birthday, so he invited all of his friends over for his party. Josh wanted it to be the best party ever, so he helped his mom plan it so it would be fun. They first picked that it would be a pool party, since they had a huge pool in their backyard. So they told everybody to wear their bathing suits. They went to the sports store and got a basketball hoop that they could put in the pool, so people could play water basketball. Then they went to the food store and picked out all of Josh's favorite foods. They got chicken, hamburgers, hot dogs so they could cook everything on the grill. When it came time for the party, Josh's best friend Ryan was the first to get there. Soon, all of Josh's friends were there and everybody had a great time. The weather was perfect and the food was delicious. It was the best seventh birthday ever!",Answer the following question from the paragraph : Question: how old was josh?,Seven
"paragraph:  Once there was a fish who had lived his whole life in his bowl. He often got bored and wished to see the rest of the world, but because he was a fish, he couldn't leave the water. So one day he made a special fish suit that would allow him to walk on land and breathe air like humans. He knew this would change his life, and make him rich, but first he would have to test it out. \\He put the suit on and leaped from the bowl that until now had been his whole world. The suit worked! Now he could go where he wanted. \\First he went to the kitchen of the house. There he saw a parrot eating a cracker. Second he went outside to the yard. He saw squirrels there running around looking for food. Third he went to the barn in the field. He saw a mommy cow. She was teaching her calf how to run. Finally he went to forest where he saw more trees than he had ever seen in his whole life. \\But after all this he was tired, and made up his mind to go back to his home in the bowl. It was a lot of work trying to see the world. He took off the special suit and splashed back into the water. His suit had passed the test and he was very happy, but he had made up his mind that his bowl was the place for him.",Answer the following question from the paragraph : Question: What'd he see there?,a parrot
"paragraph:  (CNN) -- Kanye West wants his listeners to know that he is ""a close high"" to God. \\His latest album, ""Yeezus,"" released Tuesday, offered several controversial track titles, including ""New Slaves,"" ""Black Skinhead"" and the most audacious, ""I Am a God."" The track's credit says ""featuring God,"" as if He's just another artist -- a Rick Ross or Pharrell Williams -- stepping into the studio to spit a couple of verses. \\The song closes with the verses, ""I just talked to Jesus/he said, 'What up, Yeezus?'/I said ""S*** I'm chilling/trying to stack these millions'/I know he's the most high, but I am a close high."" \\Review: 'Yeezus' is Kanye West's darkest, most extreme album yet \\So, does Kanye really think he's God's match? \\Some say the outspoken West is downright delusional, but Monica Miller, author of ""Religion and Hip Hop,"" thinks otherwise. \\The rap star's god-absorbed lyrics are a referral to his high status in the music industry, not a statement of religious beliefs, said Miller, an assistant professor of religious studies at Lewis & Clark College in Portland, Oregon. \\""I don't think (this Christian theological language) is creating a religion,"" she said. ""He's using God to situate himself at the top of the game."" \\But Pastor C. Andre Grier of Lithonia, Georgia's Union Missionary Baptist Church, believes West has been wrong from the get-go. \\Religious people ""should want to be like Christ (in a humble way), follow Him, but any reference to equality means that you are wrong from the very beginning."" ",Answer the following question from the paragraph : Question: How is it described?,Dark and extreme.
"paragraph:  Marietta, Georgia (CNN) -- Whether the prosecution will seek the death penalty in Justin Ross Harris hot-car death case will be decided in two to three weeks, Cobb County District Attorney Vic Reynolds said Thursday. \\Reynolds' statement came hours after the Georgia father was indicted by a grand jury on eight counts, including malice murder and two counts of felony murder. \\""We're pleased with the pace and thoroughness of this investigation, which continues on today,"" Reynolds said. ""The evidence in this case has led us to this point today. Whether it leads us to anyone else remains to be answered."" \\The next step will be to put Harris' case on Superior Court Judge Mary Staley's arraignment calendar, which should happen within three weeks, the prosecutor said. Motions will then be filed before the case goes to a trial calendar. \\Reynolds declined to take questions or comment further, saying, ""This case will be tried in a court of law,"" and not in the media. \\If Reynolds seeks the death penalty, it will be for the malice murder charge, which alleges that Harris, who has claimed his son's death was an accident, premeditated the child's killing. \\Harris' attorney, H. Maddox Kilgore, called the charges excessive, describing them as a part of the ""state's maze of theories."" \\""It was always an accident. When the time comes, and we've worked through the state's maze of theories at trial, it's still going to be a terrible, gut-wrenching accident. And all the eccentricities and moral failings of Ross' life isn't going to change that,"" he told reporters. ",Answer the following question from the paragraph : Question: Who is the victim?,Harris' son
"paragraph:  (CNN) -- I got chills -- not once but several times -- during Tuesday's Google Hangout with five women named to The CNN 10: Visionary Women list. \\The panel of women from truly diverse backgrounds provided fertile ground for discussion around the theme: What's the future of women at work? \\Veronika Scott, who has devoted her life to helping the homeless reenter the work world, got personal about growing up in a family ""constantly struggling in poverty"" and watching what it does to parents ""when they're constantly afraid."" \\""There's anger. They don't know when they're going to feed their kids next. They don't know if they can afford rent,"" she said. \\Equally powerful was Molly Cantrell-Kraig, a one-time single mom on welfare now committed to helping struggling women get access to cars so they can work. ""I know what it's like to be there and paying for Christmas presents with food stamps."" \\And, Victoria Budson, on a lifelong mission to eliminate the pay gap between men and women, spoke movingly about a press conference she attended early in her career about gender bias in the courts. ""I thought, if we can't get justice through the place you're supposed to go to get justice, there isn't justice for women consistently in a meaningful way."" \\Yep, pinch me now, because when you bring five passionate and community-minded women together who are focused on lifting up the lives of other women, you cannot help but be inspired about the future for our young girls. Here are five takeaways from the chat. ",Answer the following question from the paragraph : Question: How powerful was she?,Equally powerful
"paragraph:  Oklahoma i/ˌoʊkləˈhoʊmə/ (Cherokee: Asgaya gigageyi / ᎠᏍᎦᏯ ᎩᎦᎨᏱ; or translated ᎣᎦᎳᎰᎹ (òɡàlàhoma), Pawnee: Uukuhuúwa, Cayuga: Gahnawiyoˀgeh) is a state located in the South Central United States. Oklahoma is the 20th most extensive and the 28th most populous of the 50 United States. The state's name is derived from the Choctaw words okla and humma, meaning ""red people"". It is also known informally by its nickname, The Sooner State, in reference to the non-Native settlers who staked their claims on the choicest pieces of land before the official opening date, and the Indian Appropriations Act of 1889, which opened the door for white settlement in America's Indian Territory. The name was settled upon statehood, Oklahoma Territory and Indian Territory were merged and Indian was dropped from the name. On November 16, 1907, Oklahoma became the 46th state to enter the union. Its residents are known as Oklahomans, or informally ""Okies"", and its capital and largest city is Oklahoma City.",Answer the following question from the paragraph : Question: What about size?,it is the 20th most extensive
"paragraph:  Albany is the capital of the U.S. state of New York and the seat of Albany County. Roughly north of New York City, Albany developed on the west bank of the Hudson River, about south of its confluence with the Mohawk River. The population of the City of Albany was 97,856 according to the 2010 census. Albany constitutes the economic and cultural core of the Capital District of New York State, which comprises the Albany-Schenectady-Troy, NY Metropolitan Statistical Area, including the nearby cities and suburbs of Troy, Schenectady, and Saratoga Springs. With a 2013 Census-estimated population of 1.1 million the Capital District is the third-most populous metropolitan region in the state and 38th in the United States. \\Fortune 500 companies with offices in Albany include American Express, J.P. Morgan and Chase, Merrill Lynch, General Electric, Verizon, Goldman Sachs, International Paper, and Key Bank. In the 21st century, the Capital District has emerged as a major anchor of Tech Valley, the moniker describing the technologically-focused region of eastern New York State. \\This was the first European settlement in the state. It was settled by Dutch colonists who in 1614, built Fort Nassau for fur trading and Fort Orange in 1624. They formed successful relations with both the Mahican and the Mohawk peoples, two major Native American nations in the region. The fur trade attracted settlers who founded a village called Beverwijck near Fort Orange. In 1664 the English took over the Dutch settlements, renaming the city as Albany, in honor of the then Duke of Albany, the future James II of England and James VII of Scotland. The city was officially chartered in 1686 under English rule. It became the capital of New York State in 1797, following the United States gaining independence in the American Revolutionary War. Albany is one of the oldest surviving settlements of the original British thirteen colonies, and the longest continuously chartered city in the United States. Its charter is possibly the longest-running instrument of municipal government in the Western Hemisphere.",Answer the following question from the paragraph : Question: What are some Fortune 500 companies with offices in Albany?,American Express and J.P. Morgan and Chase
"paragraph:  (CNN) -- Jorge Lorenzo climbed from fourth on the grid to win the French MotoGP at a rain-soaked Le Mans on Sunday and take the lead in the championship. \\Riding his Yamaha flawlessly in the wet conditions, Lorenzo took the lead on the first lap and eventually finished 9.905 seconds clear of Valentino Rossi, who had the consolation of his best finish so far for Ducati. \\Rossi held off a determined Casey Stoner, who finished third in the week he announced he was quitting the sport at the end of the season. \\""It was really difficult to hold concentration today, in the dry it's complicated but in the wet it's even more,"" Lorenzo said. ""The race feels much longer and you have to remember where the corners are slippery every lap. If you forget one you can crash very easily."" \\Lorenzo, who won for the second time this season, leads the championship by eight points from Stoner. \\""I was pretty happy to hold on for a podium today,"" Stoner said. ""I enjoyed the battle with Valentino at the end, there was clean overtaking and we swapped positions a few times but in the end we knew that Valentino had better pace than us and after he passed there was no way I could stay with him. \\""We did everything we could today and to come away with a podium is a good result."" \\Stoner's Honda teammate Dani Pedrosa started on pole but ended up fourth, and is now 25 points adrift of Lorenzo. ",Answer the following question from the paragraph : Question: Who is Dani?,Stoner's Honda teammate
"paragraph:  CHAPTER XXV \\Terniloff and Dominey, one morning about six months later, lounged underneath a great elm tree at Ranelagh, having iced drinks after a round of golf. Several millions of perspiring Englishmen were at the same moment studying with dazed wonder the headlines in the midday papers. \\""I suppose,"" the Ambassador remarked, as he leaned back in his chair with an air of lazy content, ""that I am being accused of fiddling while Rome burns."" \\""Every one has certainly not your confidence in the situation,"" Dominey rejoined calmly. \\""There is no one else who knows quite so much,"" Terniloff reminded him. \\Dominey sipped his drink for a moment or two in silence. \\""Have you the latest news of the Russian mobilisation?"" he asked. ""They had some startling figures in the city this morning."" \\The Prince waved his hand. \\""My faith is not founded on these extraneous incidents,"" he replied. ""If Russia mobilises, it is for defence. No nation in the world would dream of attacking Germany, nor has Germany the slightest intention of imperilling her coming supremacy amongst the nations by such crude methods as military enterprise. Servia must be punished, naturally, but to that, in principle, every nation in Europe is agreed. We shall not permit Austria to overstep the mark."" \\""You are at least consistent, Prince,"" Dominey remarked. \\Terniloff smiled. \\""That is because I have been taken behind the scenes,"" he said. ""I have been shown, as is the privilege of ambassadors, the mind of our rulers. You, my friend,"" he went on, ""spent your youth amongst the military faction. You think that you are the most important people in Germany. Well, you are not. The Kaiser has willed it otherwise. By-the-by, I had yesterday a most extraordinary cable from Stephanie."" ",Answer the following question from the paragraph : Question: What chapter are we in?,25
"paragraph:  (CNN) -- When Chuck and Elicia James ventured to their local animal shelter to adopt a dog, they expected to meet a new member of their family. Instead they found themselves reunited with their long lost canine. \\The James' had not seen Reckless, a brown and white terrier-pitbull mix, since he went missing over a year and a half ago during Superstorm Sandy. They had lost their beloved pup after the fence in their Keansburg, New Jersey, home was mangled during the storm, Chuck James told CNN on Friday. \\While the family never stopped looking for Reckless, for their 10-year-old daughter's birthday they decided it was time to move on and adopt a new dog at the Monmouth County SPCA. \\To their surprise, the first dog they were introduced to was one named Lucas, who had a striking resemblance to their former pup. \\""He jumped 3 feet in the air,"" James said. ""He immediately recognized us. And then the tears came -- there wasn't a dry eye in the place."" \\The James' confirmed it was their dog based on an uncanny scar on the top of his head. \\""After Sandy, we had so many animals being turned in,"" said Jerry Rosenthal, president and CEO of the animal shelter. Rosenthal told CNN that 3-year-old Reckless ended up at the shelter last November after an employee found him on the streets. \\Rosenthal believes Reckless was taken in by another family for a period of time before he once again got loose. \\Rosenthal said the James' story really emphasizes the importance of getting your pet microchipped. Microchipping is a process in which an animal is implanted with a rice-sized chip that is used to identify him or her. ",Answer the following question from the paragraph : Question: How long had the James' family been looking for Reckless?,over a year and a half
"paragraph:  CHAPTER II. \\""'Dime; no ves aquel caballero que hacia nosotros viene sobre un caballo rucio rodado que trae puesto en la cabeza un yelmo de oro?' 'Lo que veo y columbro,' respondio Sancho, 'no es sino un hombre sobre un as no pardo como el mio, que trae sobre la cabeza una cosa que relumbra.' 'Pues ese es el yelmo de Mambrino,' dijo Don Quijote.""--CERVANTES. \\""'Seest thou not yon cavalier who cometh toward us on a dapple-gray steed, and weareth a golden helmet?' 'What I see,' answered Sancho, 'is nothing but a man on a gray ass like my own, who carries something shiny on his head.' 'Just so,' answered Don Quixote: 'and that resplendent object is the helmet of Mambrino.'"" \\""Sir Humphry Davy?"" said Mr. Brooke, over the soup, in his easy smiling way, taking up Sir James Chettam's remark that he was studying Davy's Agricultural Chemistry. ""Well, now, Sir Humphry Davy; I dined with him years ago at Cartwright's, and Wordsworth was there too--the poet Wordsworth, you know. Now there was something singular. I was at Cambridge when Wordsworth was there, and I never met him--and I dined with him twenty years afterwards at Cartwright's. There's an oddity in things, now. But Davy was there: he was a poet too. Or, as I may say, Wordsworth was poet one, and Davy was poet two. That was true in every sense, you know."" \\Dorothea felt a little more uneasy than usual. In the beginning of dinner, the party being small and the room still, these motes from the mass of a magistrate's mind fell too noticeably. She wondered how a man like Mr. Casaubon would support such triviality. His manners, she thought, were very dignified; the set of his iron-gray hair and his deep eye-sockets made him resemble the portrait of Locke. He had the spare form and the pale complexion which became a student; as different as possible from the blooming Englishman of the red-whiskered type represented by Sir James Chettam. ",Answer the following question from the paragraph : Question: Who did Dorothea think had dignified manners?,Mr. Brooke
