input,instruction,span_start,span_end,span_text,output
,Where?,648.0,690.0, I met him in London just before we sailed,in London
,Who do they have authority over?,154.0,207.0,The ICC has the jurisdiction to prosecute individuals,individuals
,Was the king liked?,239.0,292.0, Never had a ruler been more popular with all classes,Yes
,Who made up rhyming poems about the snow?,884.0,907.0,0,the poet of the school
,Did it have another name before that one?,24.0,36.0,"""Île Bourbon",IIe Bourbon
,Who was new to the group?,0.0,36.0,Ralph ,Ralph
,How come?,864.0,902.0,0,These mortals should have less or more
,what is amtrak?,62.0,103.0," Amtrak , is a passenger railroad service",passenger railroad service
,What is the current capital of Yemen?,126.0,0.0,"sana ' a , the city has been under rebel control since february 2015 . because of this , yemen ' s capital has been temporarily relocated to the port city of aden","sana ' a , the city has been under rebel control since february 2015 . because of this , yemen ' s capital has been temporarily relocated to the port city of aden"
,What percentage of the Cambridge workforce has a higher education qualification?,257.0,260.0,more than 40 %,more than 40 %
,Where was its case located?,336.0,418.0,the capital letters were stored in a separate case that was located above the case,Above the case
,"In the first place, what was one of the reasons for its growht?",644.0,724.0,o trade and recognition of its favourable port location and economic potential. ,it had a favorable port location and economic potential
,How much of it is mountains?,793.0,832.0,Eighty percent of Greece is mountainous,Eighty percent of it
,What does he ask?,92.0,121.0," ""have you made up your mind?","""have you made up your mind?"
,When?,0.0,1356.0,0,November
,What supplies electric power to railway trains and trams?,0.0,138.0,A railway electrification system supplies electric power to railway trains and trams without an on-board prime mover or local fuel supply.,A railway electrification system
,who kidnapped him?,188.0,224.0,Boko Haram kidnapped German citizen ,Boko Haram
,What language do Turkish people primarily speak?,43.0,43.0,turkish,turkish
,On their stomachs?,874.0,892.0,flat on their back,No
,Is it an SI unit?,190.0,210.0,0,no
,Who may have saved their lives?,9.0,17.0,Jon Meis,Jon Meis
,why did mary stop sewing?,0.0,804.0,0,Her father took her sewing things
,What was the recent scene that Shirley had witnessed?,89.0,97.0,0,one unparalleled for excitement and terror
,what year was it founded?,0.0,810.0,which was established in 1985,1985
,how big?,837.0,857.0,six feet in diameter,six feet in diameter
,What led to the creation of the Polish-Lithuanian Commonwealth?,150.0,156.0,the lublin parliament session of 1569,the lublin parliament session of 1569
,what was he riding in?,94.0,136.0,he apparently stuck it out of a party bus ,A party bus
,What other dialects are spoken in that province?,0.0,597.0,"Besides Hokkien, there are also other Min and Hakka dialects in Fujian province,",Min and Hakka
,What was she doing at 4 o'clock?,119.0,299.0,"my custom at 4 o'clock, when the city desk secretary left for the day, to move over to her spot to help answer the phones as the beat reporters called in to check out for the day. ",answering the phones
,What did Paws like best about living with the Jones family?,114.0,123.0,they are nice to him and always play with him,they are nice to him and always play with him
,How many games in a row did Williams win at the end?,639.0,643.0,five,Five.
,how many ?,24.0,28.0,Four,Four
,Does he have anyone in his family in the story?,0.0,351.0,Charley Gamp was related to such a fellow,Yes
,"What is Winn's attitude towards his wife, Biddy?",228.0,268.0,"his marriage grows stale . "" he could not be sure that he had ever been in love with biddy , or with anyone for that matter , but biddy was the woman he had felt the most for","his marriage grows stale . "" he could not be sure that he had ever been in love with biddy , or with anyone for that matter , but biddy was the woman he had felt the most for"
,What furniture did they have in the cabin?,595.0,692.0, It contained nothing besides their beds and a rank growth of weeds along the decayed lower logs.,beds
,what was holding it?,0.0,475.0,And taking up an odorator,an odorator
,Do the people have much freedom?,1404.0,1470.0,media and religious freedoms are subject to draconian restrictions,no
,What kind of stress was it?,780.0,811.0,Longstanding political tensions,political
,was tommy trying to make that happen?,805.0,882.0,"As we shall see presently, his efforts to put Elspeth into the hands of David",Yes
,for what?,594.0,809.0,"The purpose of the merger of functions and departments was to create a coherent, non-fragmented overview of the cultural and heritage sector, rather than spreading services and functions across several departments. ",to create an overview
,What teammate did he refuse to give in to?,646.0,756.0,"refused to lie down when faced with Fernando Alonso, a double world champion, as his feisty McLaren teammate. ",Fernando Alonso
,Who won?,1406.0,1413.0, Caesar,Caesar
,Where did he ride an animal?,348.0,384.0,In England he went riding on a horse,England
,Where was Heckewelder going to join Zeisberger?,132.0,134.0,goshocking,goshocking
,Who was being watched?,1352.0,1370.0,Sir Henry Cranston,Sir Henry Cranston
,What prompted the Ottomans to officially declare war on Russia?,247.0,253.0,promises of support from france and britain,promises of support from france and britain
,Who became editor of Weekly after Silverman?,1520.0,1533.0,Harold Erichs,Harold Erichs
,What is the formal name for Sao Tome and Principe?,23.0,82.0,officially the Democratic Republic of São Tomé and Príncipe,Democratic Republic of São Tomé and Príncipe
,"What does he love about the ""Carlton Dance""?",1169.0,1229.0,"""I love the Carlton dance. I love how it makes people feel,""","how it makes people feel,"""
,With what?,1055.0,1062.0,victory,victory
,What did they do?,207.0,214.0, walked,walked
,Is he human?,293.0,344.0,"Billy away from the danger so imminent. 

The horse",no
,Was it proven?,1729.0,1744.0, proved in 1936,yes
,What was the other man better at?,354.0,447.0,Steve Jobs was a master at understanding how to create transformative consumer technologies. ,understanding how to create transformative consumer technologies.
,What did he do the the Markets in Germany?,725.0,747.0,0,He immediately spooked them with his victory speech
,What is the most common aspect ratio for TVs?,14.0,178.0,16:9 = 4:3) is an aspect ratio with a width of 16 units and height of 9. Since 2010 it has become the most common aspect ratio for televisions and computer monitors,16:9 = 4:3) is an aspect ratio with a width of 16 units and height of 9. Since 2010 it has become the most common aspect ratio for televisions and computer monitors
,What's the capital?,486.0,542.0,Tennessee's capital and second largest city is Nashville,Nashville
,Did it ever have a resurgence?,1385.0,1491.0,"1990s, the economic reforms introduced by Deng Xiaoping resulted in an intense re-development of the city,",yes
,What might she feel if he told her?,0.0,302.0,the hopes thus raised ,hope
,What would be the first country in Asia to legalize same-sex marriage if the Civil Code is amended?,263.0,263.0,taiwan,taiwan
,What did they do the next day?,473.0,508.0,colored in the number 8 on the car.,put the color in the number 8
,Where do they go?,832.0,861.0,0,They recrossed the great hall
,did he work in aeronautics?,819.0,835.0, and aeronautics,yes
,Could a steam engine work with nuclear power?,113.0,209.0,"Non-combustion heat sources such as solar power, nuclear power or geothermal energy may be used.",yes
,How much was the estimated value of Cesare's war-horse's trappings?,303.0,307.0,"10 , 000 ducats","10 , 000 ducats"
,What game did Kramer and Mary decide to play?,165.0,0.0,hide and seek,hide and seek
,What?,1178.0,1205.0,The rug matched the pillows,The pillows
,Why?,367.0,415.0," for Time's ""Person of the Year"" magazine cover,","For Time's ""Person of the Year"" cover."
,What sport did Barry Bonds play in?,212.0,221.0, baseball,baseball
,What was his age?,942.0,944.0,17,17
,Did the DCF have any contact with the victim before she disappeared?,0.0,904.0,The agency had no contact with the Anthonys prior to the girl's disappearance in the summer of 2008,no
,what time of year was it?,854.0,885.0,0,almost autumn
,Where did the demand increase at.,619.0,0.0,The increasing demand and use of computers in universities and research labs,universities
,How many performances did he give after moving to Paris?,940.0,0.0,0,30 public ones
,How old was John Henson when he died?,0.0,58.0,48,48
,What are the differences between formal and informal imperialism?,266.0,267.0,less direct,less direct
,Where were his studies done?,515.0,608.0,"Finally, during his final year of school, he went to Africa to study giraffes in their home. ",Africa
,What is the traditional purpose of the Carnival feast?,183.0,188.0,the last opportunity to eat well,the last opportunity to eat well
,please name them.,578.0,634.0,"Guiliano, who splits her time between New York and Paris",New York and Paris
,What is the role of the state in Islamization of society?,124.0,130.0,state power seized by revolution or invasion,state power seized by revolution or invasion
,How did the African-American vote fare in the 2014 midterms?,134.0,135.0,fairly steady,fairly steady
,Where had Owen departed from?,49.0,58.0,the house,the house
,Where did Earl follow Randy to?,514.0,563.0,followed Randy to the platform of the smoking-car,the platform of the smoking-car
,Who funded it?,68.0,86.0,0,AEG Live
,What services does the BBC Worldwide Ltd provide?,288.0,296.0,"bbc world news , and from bbc . com","bbc world news , and from bbc . com"
,Who says?,582.0,606.0,Carnegie Classifications,Carnegie Classifications
,what was she doing at the time?,297.0,356.0," she said, hastily undoing a large bundle which she carried",undoing a bundle
,Was the date special?,70.0,115.0," 10th anniversary of the September 11th, 2001",yes
,Why?,712.0,785.0,Joe heard his father calling for him and got off the tractor really fast.,his father called for him
,Did he have a wife?,555.0,593.0, the Welsh pirate marry his own cousin,Yes
,Who was upset?,32.0,147.0,"Mary Masters, when Reginald Morton had turned his back upon her at the bridge, was angry with herself and with him,",Mary Masters
,Was something in the pot?,769.0,775.0,Rabbit,yes
,What does it describe?,844.0,0.0,the singer's reluctance to enter a clinic,the singer's reluctance to enter a clinic
,What was the name of Kevin Nealon's book about becoming a first-time dad?,139.0,151.0,"yes , you ' re pregnant , but what about me ? ""","yes , you ' re pregnant , but what about me ? """
,According to who?,1537.0,1668.0,"
The number of vegetarians in the United States is expected to increase over the next decade, according to the dietetic association",according to the dietetic association
,How much of that is available commercially?,872.0,899.0,47% of which is commercial.,47%
,Which he thought resembled what?,816.0,856.0,recalling the shape of the crescent moon,the shape of the crescent moon
,How many other things did he try before he was successful?,691.0,1095.0,"It depicts a young boy dressed in Vader's black robe and helmet feverishly trying to get something -- anything -- to obey ""The Force"" and bend to his will. He tries the washer and dryer. A doll. A sandwich. Nothing happens. Not even the family dog is moved. 

But when he tries to wield ""The Force"" on his dad's new car, the engine roars to life -- with a little help from dad and his keyfob, of course. ",Four
,Who does Suha want to have access to the Swiss reports?,627.0,949.0,0,because the doctors have different skills
,Who was he talking about?,0.0,300.0, Croatians and Serbs,Croatians and Serbs
,Where is he from?,502.0,510.0,American,America
,Who spoils the kids?,788.0,820.0,Marilla does spoil them terribly,Marilla
,How many collisions have had more than 300 fatalities?,518.0,520.0, 8,Eight
,Who divided the area in 600 AD?,-1.0,-1.0,unknown,unknown
,How do voting laws in the United States vary by state?,0.0,148.0,some states have more lenient voting laws,some states have more lenient voting laws
,What did his invention lead to?,673.0,0.0,"the electrical system, which made possible the personal computers, music players and smartphones innovated by Jobs.","personal computers, music players and smartphones"
,Who takes his place?,908.0,942.0, left deputy Jordi Roura in charge,Jordi Roura i
,when?,729.0,760.0,at least to the 4th century BCE,at least to the 4th century BCE
,What did they decide to do?,368.0,474.0," ""But I am willing to go a little further,"" he added, seeing how disappointed the shipowner's son looked. ",To go a little further.
,was he alone?,1101.0,1153.0,Fernando Alonso and his former teammate Felipe Massa,No
,Why didn't he fix the bars?,1220.0,1267.0,"but before he got quite ready, he heard a noise",he heard a noise
,Where was Anne missing?,194.0,208.0,Patty's Place.,Patty's Place.
,How many people live there?,1002.0,1136.0," The Distrito Capital had a population of 2,013,366 , while the Metropolitan District of Caracas was estimated at 3,273,863 as of 2013","The Distrito Capital had a population of 2,013,366"
,Who agreed with Bernard about this?,662.0,734.0,0,jim
,Anything else?,0.0,0.0, responsible for reviewing the conduct of local law enforcement as dir,reviewing conduct of local law enforcement
,What is the longest river in Central and Western Europe?,138.0,139.0,the danube,the danube
,How many areas of  expertise did Claudius have?,68.0,0.0,"mathematician, astronomer, geographer, astrologer, and poet",Five
,What is the name of her husband?,154.0,0.0,"her husband, Mike Comrie",Mike Comrie
,What body of water also borders it?,391.0,409.0,the Gulf of Mexico,the Gulf of Mexico
,Did he have help?,572.0,689.0," Harold Mason, a librarian and antiquarian bookseller, and Harold Schwartz who had a background in trade publishing. ",yes
,Did Vrouw intend to tell the truth?,330.0,0.0, wise thing to do if one is wicked enough to intend to tell lies about any matter,no
,which ones,224.0,0.0,Andhra Pradesh,Andhra Pradesh
,Who is going to talk to Mr. Wadsworth?,0.0,1008.0,"""I'll warn Mr. Wadsworth, Laura, and he can notify the police. ",Dave
