input,instruction,span_start,span_end,span_text,output
,What kind of defeat made her quit?,143.0,254.0,"The Russian lost to China's Li Na 7-6 (7-4) 6-4, who had herself not won a match, or even a set, since August. ",lost to China's Li Na
,When did he rise to power?,199.0,227.0,during the French Revolution,during the French Revolution
,What kind of expression did he have?,687.0,695.0,cunning ,cunning
,what else did he do?,991.0,1006.0,Then he sneezed,sneezed
,"If it ever comes out, who would publish it?",1525.0,1607.0,If and when Love's memoir finally arrives through William Morrow at Harper Collins,William Morrow
,Anyone else?,1258.0,1265.0,Vavona ,Vavona
,Whose place did someone try to do their job in?,36.0,103.0,"hat evening I sat ill at ease in my work-chamber in Seti's palace, ",Seti's
,Whose commitment were they waiting on?,857.0,917.0,the agreement was conditional on a clear commitment by Kiev ,Kiev
,and?,1303.0,1335.0,military training and excellence,excellence
,what is the official name?,0.0,42.0,"Angola , officially the Republic of Angola",the Republic of Angola
,Did Lynch care what you thought of him?,1462.0,1501.0,truly didn't care what u thought of him,truly didn't care what u thought of him
,did he mean to shoot her?,130.0,0.0,"describing her death as a ""devastating accident.""",No
,what covered the moon,169.0,217.0,There was a cloud over the little sickle of moon,There was a cloud
,What kind of scientist was Fang?,0.0,0.0,"Fang, an accomplished astrophysicist",astrophysicist
,What did these kids do?,589.0,719.0,The FBI says that on April 18 the three friends went to Tsarnaev's college dorm room at the University of Massachusetts-Dartmouth.,went to Tsarnaev's college dorm room
,What did the family do at six?,215.0,276.0, the family gathering round the tea-table being fixed at six.,gathered round the tea-table
,What was The Times' original title?,66.0,126.0,t began in 1785 under the title The Daily Universal Register,The Daily Universal Register
,What has Labor's constitution said for a long time?,644.0,947.0,"Labor's constitution has long stated: ""The Australian Labor Party is a democratic socialist party and has the objective of the democratic socialisation of industry, production, distribution and exchange, to the extent necessary to eliminate exploitation and other anti-social features in these fields"". ","""The Australian Labor Party is a democratic socialist party and has the objective of the democratic socialisation of industry, production, distribution and exchange, to the extent necessary to eliminate exploitation and other anti-social features in these fields""."
,Who was he?,768.0,817.0, with English Separatist John Smyth as its pastor,English Separatist
,What country is Norfolk located in today?,0.0,48.0,England,England
,Who filed to dissolve the relationship?,0.0,44.0,Neil Young has filed for divorce,Neil
,What was Donny Love's motive for the bombing?,339.0,341.0,obtaining reward money,obtaining reward money
,What concept influenced the US form of government?,64.0,87.0,writings of Montesquieu,writings of Montesquieu
,And he has played for what countries?,1170.0,0.0,Spain,Spain and Hungary
,Who was it?,860.0,891.0,Burley received no intelligence,Burley
,"Did he try to found a ""Society of Chemical Engineering""?",997.0,1126.0,". Davis also tried to found a ""Society of Chemical Engineering"", but instead it was named the Society of Chemical Industry (1881)",yes
,"In what year was the movie ""Captain America: The First Avenger"" released?",157.0,0.0,ii,ii
,What part of the country is AZ in?,0.0,86.0,"Arizona (; ; O'odham: ""Alĭ ṣonak"" [ˡaɺi ˡʂonak]) is a state in the southwestern region",the southwestern region
,What did the court finally decide?,1062.0,1085.0,court found them guilty,court found them guilty
,Where is the other from?,1271.0,1359.0,he high-resolution imagery of cities is aerial photography taken from aircraft flying at,aircraft
,Who pouted?,56.0,75.0,pouted Jennie Allen,Jennie Allen.
,What news organization wrote the article?,18.0,21.0,CNN,CNN
,How many days do they have to file an appeal?,853.0,891.0,"They have two weeks to file an appeal,",Two weeks (14 days)
,What about Karren?,1302.0,1344.0,Karren Brady is West Ham's vice chairman. ,Karren Brady is West Ham's vice chairman
,And what did amber signal?,1719.0,1742.0,amber for mixed notices,mixed notices
,What happened with this old job?,713.0,0.0,who was overthrown in a 2006 military coup,overthrown in a military coup
,Who was the editorial board chared by?,811.0,883.0,The editorial board was chaired by Isaac K. Funk and Frank H. Vizetelly.,Isaac K. Funk
,What had Andy rented?,333.0,0.0,"Half an hour later he came across his partner on the main street. Andy had just rented a store,",A store
,Where is it named differently?,682.0,700.0,Spain (TCM España),Spain
,What is it also called?,0.0,31.0,The European Central Bank (ECB),ECB
,Which large world organization is UNDP a part of?,41.0,69.0,(UNDP) is the United Nations,the United Nations
,Who is the Blythe girl mentioned?,126.0,131.0,Rilla,Rilla
,for?,1815.0,1873.0, In 1950 Russell was awarded the Nobel Prize in Literature,Literature
,How long ago did this happen?,1432.0,1450.0, A year has passed,A year ago
,How hard was the stone?,788.0,817.0,"stone was of a soft quality, ",It was soft.
,What was the prosecutor?,608.0,634.0,prosecutor Elizabeth Brown,Elizabeth Brown
,what was Champagne doing when he met Pele?,1095.0,0.0,was working at the French Embassy,he was working at the French Embassy
,Does she think Billy is smart?,0.0,1624.0,"-round-faced, stupid, perpetually smiling, good-natured Billy Andrews",no
,What did Sally ask of him?,1356.0,1385.0,"""May I go with you, father?"" ",If she could go with him
,did he find it ?,1027.0,1143.0,"Hal looked. There hung his missing sock. Also one of Upton's and one of Sparrer's, all three misshapen and bulging. ",yes
,what type of boots had the body had?,0.0,392.0,patent leather,patent leather
,When did the home side nearly double their advantage?,408.0,478.0, the home side nearly doubled their advantage just seven minutes later,seven minutes later
,What did Margaret's parent do?,1691.0,1699.0,grocer's,they were grocer's
,Which culture is known to have been settled in the area in the first millennium AD.,1102.0,0.0,"The area was known to be settled in the first millennium AD. by people of the Mississippian Culture,",Mississippian.
,Are the large or small?,351.0,423.0,"While a biome can cover large areas, a microbiome is a mix of organisms ",no
,What's special about it?,99.0,145.0,characterized by a 6-point star-shaped pattern,a 6-point star-shaped pattern
,When did he die?,-1.0,-1.0,unknown,unknown
,Do challengers have a higher chance of being recognized?,1077.0,1163.0,the incumbent often has more name recognition due to their previous work in the office,No.
,Why?,496.0,536.0,0,the leaves started to turn pretty colors
,What is the oldest newspaper to have borne the name The Times?,112.0,138.0,"the times is the first newspaper to have borne that name , lending it to numerous other papers around the world , including the times of india","the times is the first newspaper to have borne that name , lending it to numerous other papers around the world , including the times of india"
,who interrupted Louise?,864.0,868.0,Beth,Beth
,what church did he criticize in his writings?,208.0,224.0, Catholic Church,Catholic Church
,How long had the Istanbul Prosecutor's Office been investigating allegations of corruption before the arrests occurred?,376.0,378.0,two - year,two - year
,which season of Celebrity Rehab was she on?,1158.0,1227.0,"who treated McCready on the third season of his show ""Celebrity Rehab",third
,What is it bordered by?,218.0,246.0,bordered by Spain and France,Spain and France
,How does chlorophyll capture energy from sunlight?,25.0,27.0,photosynthesis,photosynthesis
,Who were some of it's leaders?,0.0,0.0," its leaders included Saint Peter, James, the brother of Jesus, and John the Apostle","Saint Peter, James, the brother of Jesus, and John the Apostle"
,why not?,0.0,1398.0,0,Because the tactics used against him were illegal
,What is the term for a state where political corruption is unrestrained?,244.0,249.0,kleptocracy,kleptocracy
,How were they killed?,168.0,223.0,How he and three other young people ended up shot dead ,they were shot
,Does it cover a definite area?,133.0,196.0, Definitions vary a great deal and have never been standardized,No.
,What does King believe is happening?,430.0,520.0, explore the extent to which al Qaeda is trying to influence and indoctrinate U.S. Muslims,The al Qaeda is trying to influence U.S. Muslims.
,"Who motioned ""hello""?",0.0,310.0,Jeff waved at the men. ,Jeff
,Where was he getting his breakfast?,167.0,176.0,the patio,the patio
,Where did he go back afterwards?,977.0,1029.0,"see his patients, and then returned again to London.",London
,does his father live in a big home?,252.0,281.0,"a small old-fashioned house, ",No.
,Who beat someone 6-2 6-3?,606.0,892.0,"Kuznetsova lost both of her singles matches in the 2004 final, a 3-2 win over France sealed in the deciding doubles tie, but was undefeated in four finals outings in 2007-08. 

The former U.S. Open and French Open champion continued that winning run as she beat Lucie Safarova 6-2 6-3. ",Kuznetsova.
,What subject was the big test on?,82.0,169.0,Her finals were coming up in a few weeks and Jill was very nervous about her Math test.,math
,Who is working on that effort?,814.0,826.0, aid workers,aid workers
,What does Elizabeth want her father to do to the person who told her what she must and must not do?,0.0,447.0,discharge the man,discharge the man
,what happened during that visit?,96.0,187.0,Omar bin Laden says he last saw his father in 2000 when the son decided to leave al Qaeda. ,he decided to leave al Qaeda.
,who?,223.0,309.0,"Peter thought that they could see if their other friend Robert could play with them. 
",Robert
,Was he booked as a guest?,411.0,556.0,0,No
,How did he feel about that?,1016.0,1092.0,0,he didn't like it
,How many inhabitants does Haryana have according to the census of India?,0.0,87.0,"25 , 353 , 081","25 , 353 , 081"
,What did the orderly say when Madame la Vicomtesse ordered him to wake Monsieur le Baron?,115.0,123.0,monsieur le baron was having his siesta,monsieur le baron was having his siesta
,how many police were hurt ?,167.0,177.0,The office,One
,Was there a bill of lading?,1062.0,1119.0,"""And the bill of lading?"" 

""N--no, he didn't have that,""",no
,Did they do well with first time consumers?,1047.0,1139.0,"Dell's was going up, as second- and third-time computer buyers who wanted powerful computers",no
,what was put over Dick's head?,368.0,382.0,0,It was a large towel
,what was his title?,1896.0,1942.0," James Guthrie, then Secretary of the Treasury",Secretary of the Treasury
,Does the boy have a lawyer?,9.0,49.0,An attorney for a 14-year-old Australian,yes
,where did adam sit?,1463.0,1475.0,0,opposite to her
,of which nation?,1611.0,1633.0,Kim became North Korea,North Korea
,Which is in what country?,50.0,78.0,0,Russia
,What did Chris Froome tell reporters after the race?,170.0,184.0,""" this was one of the hardest days i have ever had on the bike",""" this was one of the hardest days i have ever had on the bike"
,was Lady Mary calm or anxious?,566.0,605.0,Lady Mary looked anxiously towards them,anxious
,What was the problem with Rob?,-1.0,-1.0,unknown,unknown
,Is genetic variation part of biodiversity?,334.0,0.0,"This can refer to genetic variation,",yes
,What is AU?,0.0,2009.0,African Union (AU).,African Union
,"And after that, what was he planning?",1388.0,1428.0,"but he would see her, and tell his love.",Tell oer of his love.
,What does Selingman call Anna?,302.0,313.0, a nuisance,a nuisance
,How did The Times of London describe the impact of Obama's victory?,0.0,125.0,revitalized u . s . politics,revitalized u . s . politics
,who challenged the captain?,1087.0,1091.0,Paul,Paul
,What heading are they included under?,843.0,985.0,"ISO 9564 comprises three parts, under the general title of ""Financial services — Personal Identification Number (PIN) management and security""","""Financial services — Personal Identification Number (PIN) management and security"""
,When was this?,0.0,185.0,"with an upset 1-0 win over favored Gabon Wednesday. 
",Wednesday
,Who was handed a midfield berth?,359.0,0.0,Javi Martinez was handed a midfield berth,Javi Martinez
,which one?,132.0,159.0,bombing of PanAm Flight 103,the bombing of PanAm Flight 103
,Was anything mentioned about them going back to England?,1406.0,1452.0,no word was said as to their return to England,no
,Which year?,660.0,748.0,"A civil war was fought almost immediately after independence, lasting from 1992 to 1997.",from 1992 to 1997
,Where did she sleep?,0.0,1338.0,"The jury was shown pictures of what the prosecution said was a mattress and a single blanket, the bed on which Mruke was forced to sleep in the kitchen of Khan's three-bedroom house in Harrow, northwest London. ",in the kitchen
,Of what country?,25.0,33.0,Pakistan,Pakistan
,Who tired to murder him?,652.0,738.0,Court documents also allege Terri Horman attempted to hire a man to kill her husband. ,Terri Horman attempted to hire a man to kill her husband.
,What did the complaint say she did?,59.0,153.0, a complaint that she verbally and physically assaulted a mother and her 18-month-old daughter,assaulted a mother and her 18-month-old daughter
,what is the religion most practiced?,1100.0,1155.0,largely because of the state's Catholic majority (52%) ,Catholicism
,Where did he get hurt?,483.0,526.0,Jean said he suffered the wound on his hand,on his hand
,did he die?,784.0,789.0,alert,No
,Who are the costumes for?,55.0,66.0,movie stars,Movie stars
,Has Hawkins been worrying about something?,114.0,323.0,"She's not going to give this galvanized cadaver up, that's plain. Wild horses can't pull her away from him. I've done my share; it's for Sellers to take an innings, now."" So he sent this message to New York: 
",yes
,Was his appearance changed?,0.0,-1.0,unknown,unknown
,why did they do it?,549.0,632.0,0,didn't want to wait to get bananas
,What is Flea's real name?,205.0,0.0,michael balzary,michael balzary
,where is the headquarters for the site?,598.0,0.0," msnbc.com headquartered on the West Coast on the Microsoft campus in Redmond, Washington",It was on the Microsoft campus
,Was there glass in more than one tire?,1337.0,1385.0,It was found that each tire had some glass in it,Yes
,And who in the group was anxious?,0.0,460.0,0,", Peppe"
,Where did they go to eat?,526.0,568.0,The girls went to a restaurant for dinner.,restaurant
,What does probating the will mean?,1064.0,0.0,Probate is the legal process to prove whether a will is authentic and valid. ,Probate is the legal process to prove whether a will is authentic and valid.
,Where was evidence found?,-1.0,-1.0,unknown,unknown
,Is public transportation safe in Haiti?,783.0,839.0,safer to use public transport then than it was last year,No
,What type of movie is it?,1132.0,1200.0,"The R-rated Hitchcock-style, prescription-drug thriller Side Effects",a prescription-drug thriller
,whats one of the largest?,0.0,1224.0,"which the three largest are the Hausa, Igbo and Yoruba; t",the Hausa
,Where did he get it from?,475.0,537.0,Austin was thus not astonished to find a letter from Jefferson,Jefferson
,What happened to them?,90.0,126.0,"hat it detained earlier this year, a",they were detained
,What does Saxon know that Sarah does not?,337.0,343.0,bill roberts is a pretty good boy,bill roberts is a pretty good boy
,Who starred in it?,1558.0,0.0,"""Philadelphia,"" the 1993 film that won Tom Hanks an Oscar as a lawyer dying of AIDS.",Tom Hanks
,Was she correct?,1174.0,1199.0,You have been misinformed,You have been misinformed
,Who won the game?,771.0,826.0,His team was as good too and they were tied at the end!,nobody?
,In what game did she lose her chance at it?,25.0,193.0,"stopped Caroline Wozniacki from clinching the year-end women's No. 1 tennis ranking with a shock 6-4 6-3 victory at the WTA Championships in Qatar on Wednesday night. 
",6-4 6-3 defeat in the WTA Championships in Qatar on Wednesday night.
,What are the three United States Department of Energy National Laboratories that Berkeley co-manages?,312.0,0.0,"lawrence berkeley national laboratory , lawrence livermore national laboratory and los alamos national laboratory","lawrence berkeley national laboratory , lawrence livermore national laboratory and los alamos national laboratory"
,What is the project useful for?,1073.0,1130.0,would be useful for developing new and better space suits,developing new and better space suits
,Where will Obama be on Saturday?,1105.0,1142.0,"On Saturday, Obama heads to Minnesota",Minnesota
,Why not?,83.0,95.0, pulling out,he pulled out
,How did they make the announcement?,256.0,269.0,0,Facebook post
,Who was the alleged victim's legal rep?,284.0,288.0,Jeff,Jeff
,What was going well?,33.0,44.0,EVERY thing,EVERY thing
,What has he previously served as?,1550.0,1627.0,0,minister and chairman of the board of directors of the Panama Canal Authority
,What problem does Stan Lee say Spider-Man has that young people can relate to?,342.0,344.0,0,not enough money
,In which state?,482.0,0.0," the Sun headquarters were in Santa Clara, California",California
,did she deliver vaginally?,920.0,0.0,"In August 2007, she had a C-section",No
,What crisis happened due to the storm out?,994.0,1039.0,and initiated the 444-day Iran-hostage crisis,Iran-hostage crisis
,Where had the temperature climbed to 80 degrees?,101.0,183.0, the temperature in Phoenix had climbed to 80 degrees that Tuesday in April 2012. ,Phoenix
,Who was that?,515.0,597.0,"The chief paid his salutations courteously; and, instead of repairing to his skins",The chief
,how long was he distracted?,14.0,100.0,Throughout the week Daylight found himself almost as much interested in Bob as in Dede,a week
,Who knew where Beatrice was?,1122.0,0.0,Tavernake ,Tavernake
,was the house to be loud ?,299.0,325.0, kept as quiet as possible,no
,How long did the country have consecutive job losses before Obama took office?,335.0,337.0,12 consecutive months,12 consecutive months
,What is the role of a patron saint in a particular place?,269.0,290.0,prays for that place ' s wellbeing and for the health and happiness of all who live therein,prays for that place ' s wellbeing and for the health and happiness of all who live therein
,who resgined last week?,806.0,811.0,Hagel,Hagel
,What programming paradigms does Ruby support?,83.0,90.0,"functional , object - oriented , and imperative","functional , object - oriented , and imperative"
,Where was he from?,602.0,636.0," Scottish immigrant George Brown, ",Scotland
,where else?,268.0,298.0,"It was used in France, Germany",Germany
,Who came back to work?,90.0,119.0, Richard come to work again. ,Richard
,Who else?,0.0,1486.0,"I couldn't be unkind to Jenö and Károly, and all my old friends, just this last evening, when I am still a girl amongst them.""",Jenö and Károly
,What is the northernmost region in the Northern Hemisphere where pines are native?,341.0,343.0,66°n,66°n
,who leads the Labour party?,514.0,567.0,Jeremy Corbyn was elected Leader of the Labour Party.,Jeremy Corbyn
,Anything else?,98.0,274.0,Morton had finished the revisal and the making out of a fair copy of the paper on which he and Poundtext had agreed to rest as a full statement of the grievances of their party,Yes
,who doubled the size?,0.0,1760.0, In 1863 Cambodia became a protectorate of France which doubled the size of the country by reclaiming the north and west from Thailand.,France
,What was the man's name?,164.0,182.0,Joe Rickey Hundley,Joe Rickey Hundley
,What was the name of the mission that Pope Gregory I initiated?,73.0,75.0,the gregorian mission,the gregorian mission
,When did the idea come to them?,153.0,206.0,Tom Truscott and Jim Ellis conceived the idea in 1979,in 1979
,Has she made any records?,0.0,0.0,ongest-reigning British head of state and the longest-reigning queen regnant in world history,yes
,What is the grandfather's name?,1460.0,1468.0,Laurence,Laurence
,In any specific place?,1293.0,1306.0,National Mall,National Mall
,Was it a good one?,800.0,804.0,good,Yes
,did he direct movies?,507.0,569.0,"He followed it up with best director for ""Amay No Bo"" in 2003,",yes
,how are most created,169.0,212.0,Most photographs are created using a camera,sing a camera
,who goes to hell in that scenario?,0.0,0.0,and unrighteous punished in hell,the unrighteous
,In what month did the incident occur?,78.0,90.0, in February,in February
,Where was that held?,386.0,416.0, last year's GP at Albert Park,Albert Park
,is she seeded?,1326.0,1545.0,"Seven-time Grand Slam winner Henin, handed a wildcard after a 20-month retirement, will start against unseeded fellow Belgian Kirsten Flipkens on Monday while fifth seed Dementieva plays fellow Russian Vera Dushevina . ",No.
,what season was it compared to?,665.0,671.0,summer,summer
,Does his sister have a husband?,1364.0,1381.0,"""She is a widow.""",No
,what?,1082.0,1113.0,"e had halted opposite a garden,","a garden,"
,How did Chet and Andy travel to Andy's home?,0.0,0.0,in a carriage,in a carriage
,Who is he ahead of?,786.0,888.0,"Lorenzo, who won for the second time this season, leads the championship by eight points from Stoner. ",Stoner.
,How much is known about him?,647.0,706.0,"""I know a good deal about you,"" answered the youth, boldly.",a good deal
,"How did Fred Van Valkenburg, Missoula County chief prosecutor, respond to the allegations?",311.0,324.0,0,vehemently defended his office and the police officers involved in the investigations
,What class is she seated in?,420.0,438.0,"Second class, miss",Second
,How about fridgidaire?,1402.0,1473.0, Frigidaire (appliances including refrigeration and air conditioning); ,appliances including refrigeration and air conditioning
,When was the Declaration of Independence signed in Philadelphia?,58.0,58.0,1776,1776
,Was he born rich?,1356.0,1399.0,0,no
,When were the first submarine communication cables placed?,0.0,243.0,"The first submarine communications cables, laid in the 1850s, carried telegraphy traffic.",1850s
,What caused the couple to not separate?,20.0,151.0,A lengthy separation -- and a surprise trip to Paris -- caused this husband and wife to realize that their marriage could be saved.,a trip to Paris
,When?,230.0,0.0,between the late 16th and early 18th centuries,between the late 16th and early 18th centuries
,What other accommodation is included?,1328.0,1396.0,It also requires employers to accommodate persons with back injuries,back injuries
,Can you learn it and become fluent in it?,1088.0,1180.0,Each pidgin has its own norms of usage which must be learned for proficiency in the pidgin. ,yes
,What does he speak about with Sport1?,681.0,708.0,Speaking about the transfer,the transfer with Klose
,did nat edge of the cister ?,468.0,472.0,Dave,no
,How does he try to fight it?,865.0,974.0,"To do so, he takes the form of both a Hylian and a wolf, and is assisted by a mysterious creature named Midna",takes the form of both a Hylian and a wolf
,Why did he do that?,54.0,158.0, to reclaim the title of the oldest man to climb Mt Everest after a combination of poor climbing weather,to reclaim  title as oldest man to climb Mt. Everest.
,Did she agree with his request before that?,236.0,331.0,"As she had at once acceded to Morton's proposal that they should walk round the house together,",Yes
,is it close to the capital,739.0,802.0,The University of Maryland's proximity to the nation's capital ,Yes
,how many times larger than Bevern's forces were Daun's?,1362.0,1387.0, thrice superior to Bever,three
,What year did the University of London receive its first royal charter?,42.0,145.0,"1836 and is , at present , incorporated by royal charter granted in 1863 . it is now governed by the university of london act 1994 and by the statutes made under it . the university currently consists of 18 constituent colleges , nine research institutes and a number of central bodies . the university is the largest university by number of full - time students in the united kingdom , with 161 , 270 campus - based students and over 50 , 000 distance learning students in the university of london international programmes . the university was established by royal charter in 1836","1836 and is , at present , incorporated by royal charter granted in 1863 . it is now governed by the university of london act 1994 and by the statutes made under it . the university currently consists of 18 constituent colleges , nine research institutes and a number of central bodies . the university is the largest university by number of full - time students in the united kingdom , with 161 , 270 campus - based students and over 50 , 000 distance learning students in the university of london international programmes . the university was established by royal charter in 1836"
,Which was the strongest?,1371.0,1389.0,the Rasulid dynast,the Rasulid dynast
,Who runs that group?,446.0,0.0,"Sinaloa Cartel led by Joaquin ""El Chapo"" (Shorty) Guzman","Joaquin ""El Chapo"" (Shorty) Guzman"
,What time did Jon wake up on his birthday?,84.0,87.0,six in the morning,six in the morning
,What was the name of the first web browser?,192.0,194.0,worldwideweb,worldwideweb
,What was Jeff and Forrest watching on TV?,193.0,193.0,ghosts,ghosts
,And girls?,197.0,200.0,Sue,One
,Does one side think there was only one author of the Iliad?,0.0,1073.0,"One holds that most of the ""Iliad"" and (according to some) the ""Odyssey"" are the works of a single poet of genius",yes
,Who had the great season?,7.0,59.0,0,Park Ji-Sung
,Why?,305.0,380.0,"""This is downright bad, Shabbakuk--we'll never get our leases a'ter this!"" ",He was afraid they won't get their leases
,When its there what do Christians think of?,9.0,92.0,"As Easter comes into view, the thoughts of billions of Christians turn to Jerusalem",Jerusalem
,What did the animal do next?,457.0,497.0,"But one day, the alligator made a friend",made a friend
,How does she say we would baptize terrorists?,468.0,537.0,"e, they would know that waterboarding is how we baptize terrorists."" ",By waterboarding
,By whom?,326.0,380.0,0,Heinrich Anton de Bary.
,Who was it?,340.0,366.0,Sally bounding towards him,Sally
,"Besides writing, what else did he do?",1003.0,0.0,"tales, poems","tales, poems"
,Where is he from?,336.0,379.0,"Abdurasul Juraboev, 24, a Uzbekistan native",Uzbekistan
,Is he from Maine?,214.0,234.0, He is from Virginia,no
,who pondered ?,1144.0,0.0,Jim ,Jim
,Are these popel part of the First Nations?,906.0,957.0,who are not included under either the First Nations,no
,What team in New York was he associated with?,1653.0,1688.0, and later with the New York Cosmos,The New York Cosmos
,What did the family do after they found the keys?,158.0,160.0,0,ate our dinner
,Was he open about this?,411.0,467.0,"Brown was deaf (although he always pretended he wasn't),",No
,Which body of water did he use?,1384.0,1415.0,"n the water of New York Harbor,","New York Harbor,"
,At what location was the rest of the companies?,0.0,1037.0,east of the Mississippi River,east of the Mississippi River
,for how long ?,60.0,87.0,little more than a half-hou,little more than a half-hou
,who did it merge with?,468.0,496.0,"Canberra University College,","Canberra University College,"
,How long will he spend in jail?,521.0,577.0,would face a sentence of 10 years in prison if convicted,10 years if convicted
,What is the word derived from?,550.0,612.0,"The word ""mammal"" is modern, from the scientific name Mammalia",from the scientific name Mammalia
,How many soldiers did he get from someone?,1027.0,1064.0,"to give him about 20,000 men in all. ","about 20,000"
,Were they big?,983.0,999.0, They were small,no
,What did Hector ask Paolo to do with the two horses?,54.0,276.0,"put a saddle on one for me ; shift your own saddle on to the other , and picket your own with the spare horses of the staff , then we will ride over and get my saddle , bridle , holsters , and trappings . the horse has carried me well ever since i left paris , and i am grieved indeed to lose it . "" "" so am i , master ; it was a good beast , but i think that either of these is as good , though it will be long before i get to like them as i did scotty . we shall want housings for this second horse , master . "" "" yes ; there will be no difficulty about that . there are scores of dead horses on the field ; choose one without any embroidery or insignia . you may as well take another pair of holsters with pistols . "" riding across to the spot where enghien and his officers were forming up the prisoners , talking courteously to the spanish officers and seeing to the wounded , hector , leaving paolo to find his fallen horse and shift his trappings to the one that he rode","put a saddle on one for me ; shift your own saddle on to the other , and picket your own with the spare horses of the staff , then we will ride over and get my saddle , bridle , holsters , and trappings . the horse has carried me well ever since i left paris , and i am grieved indeed to lose it . "" "" so am i , master ; it was a good beast , but i think that either of these is as good , though it will be long before i get to like them as i did scotty . we shall want housings for this second horse , master . "" "" yes ; there will be no difficulty about that . there are scores of dead horses on the field ; choose one without any embroidery or insignia . you may as well take another pair of holsters with pistols . "" riding across to the spot where enghien and his officers were forming up the prisoners , talking courteously to the spanish officers and seeing to the wounded , hector , leaving paolo to find his fallen horse and shift his trappings to the one that he rode"
,What is the purpose of separation of powers?,56.0,0.0,to check the powers of the other branches,to check the powers of the other branches
,Who called for help?,805.0,814.0,A friend ,A friend
,In what kind of room,137.0,150.0,cheerful room,cheerful room
,How many games did he sit out?,1461.0,1500.0,ut was credited with having served five,five
,How much money is domestically made each year?,536.0,588.0,has a gross domestic product (GDP) of US$411 billion,US$411 billion
,Which one is speaking about his hatred in the article?,366.0,381.0,Georges Laraque,Georges Laraque
,Who is housed there?,1381.0,1416.0,home to boys aged eight to 18 years,boys
,what were they apart of from 1916-1974?,934.0,964.0,Britain's sphere of influence ,Britain's sphere of influence
,How many distinct Bantu languages are there?,61.0,61.0,250,250
,what was Josh's favorite place to go?,0.0,142.0,"It was finally summer vacation, and Josh was excited to go to his favorite place. He was heading to Florida, to visit his Grandma and Grandpa.",Florida.
,Where were they seated?,95.0,132.0, they occupied their accustomed table,Their accustomed table
,What is the most important lesson Mireille Guiliano's mother taught her?,296.0,303.0,prevent holiday - food overindulgence,prevent holiday - food overindulgence
,What was one of her first actions?,0.0,1157.0,One of her first actions as queen was the establishment of an English Protestant church,the establishment of an English Protestant church
,What court does Ahmad want to implement justice?,683.0,827.0,"""He committed a mass killing crime, and we would like the court in the United States to implement justice and punish him according to the crime,",the court in the United States to implement justice
,Did he have any children?,770.0,789.0,his son Christopher,yes
,When was she arrested?,233.0,280.0,"Kristin Davis, 38, was arrested on Monday night",on Monday night
